name_en	name_zh
Monarch Crab	帝王蟹
Monsoon Belt	季风腰带
Mooncleaver	月刃
Moonglow Ink	月光墨水
Moonlight Gloves	月光手套
Moonshroud	月布
Moonshroud Gloves	月布手套
Moonshroud Robe	月布长袍
Moonsoul Crown	月魂之冠
Murloc Scale Gloves	鱼人鳞片手套
Mycah's Botanical Bag	麦卡的植物学背包
Mysterious Bag	神秘背包
Mysterious Dreadstone	神秘恐惧石
Mysterious Shadow Crystal	神秘暗影水晶
Mysterious Tarot	神秘塔罗牌
Mysterious Twilight Opal	神秘暮光蛋白石
Mystic Autumn's Glow	神秘秋色石
Mystic Dawnstone	神秘黎明石
Mystic Dragon's Eye	神秘龙眼石
Mystic Frostwoven Robe	神秘霜纹长袍
Mystic Frostwoven Shoulders	神秘霜纹护肩
Mystic Frostwoven Wristwraps	神秘霜纹护腕
Mystic King's Amber	神秘帝王琥珀
Mystic Lionseye	神秘狮眼石
Mystic Spellthread	神秘魔线
Mystic Sun Crystal	神秘太阳水晶
Mystic Tome	神秘之书
Mystical Skyfire Diamond	神秘天火钻石
Nature Armor Kit	自然护甲片
Necklace of the Deep	深渊项链
Necklace of the Diamond Tower	钻石塔项链
Nerubian Belt	蛛魔腰带
Nerubian Boots	蛛魔长靴
Nerubian Bracers	蛛魔护腕
Nerubian Chestguard	蛛魔胸甲
Nerubian Gloves	蛛魔手套
Nerubian Helm	蛛魔头盔
Nerubian Leg Armor	蛛魔腿甲片
Nerubian Legguards	蛛魔护腿
Nerubian Reinforced Quiver	蛛魔强化箭袋
Nerubian Shoulders	蛛魔护肩
Nesingwary 4000	奈辛瓦里4000
Nether Chain Shirt	虚空链甲衬衣
Nethercleft Leg Armor	虚空裂蹄腿甲片
Nethercobra Leg Armor	虚空眼镜蛇腿甲片
Netherdrake Gloves	虚空龙手套
Netherdrake Helm	虚空龙头盔
Netherflame Belt	虚空烈焰腰带
Netherflame Boots	虚空烈焰长靴
Netherflame Robe	虚空烈焰长袍
Netherfury Belt	虚空之怒腰带
Netherfury Boots	虚空之怒长靴
Netherfury Leggings	虚空之怒护腿
Netherscale Ammo Pouch	虚空鳞片弹药包
Netherstrike Belt	虚空打击腰带
Netherstrike Bracers	虚空打击护腕
Netherstrike Breastplate	虚空打击胸甲
Netherweave Bag	灵纹布背包
Netherweave Bandage	灵纹布绷带
Netherweave Belt	灵纹布腰带
Netherweave Boots	灵纹布长靴
Netherweave Bracers	灵纹布护腕
Netherweave Gloves	灵纹布手套
Netherweave Net	灵纹布网
Netherweave Pants	灵纹布短裤
Netherweave Robe	灵纹布长袍
Netherweave Tunic	灵纹布外衣
Nigh-Invulnerability Belt	近乎无敌腰带
Night's End	夜之终结
Nightmare Catcher	噩梦捕手
Nightmare Tear	噩梦之泪
Nightshock Girdle	夜震束腰
Nightshock Hood	夜震兜帽
Noise Machine	噪音机器
Northern Stew	北地炖肉
Notched Cobalt War Axe	缺口钴蓝战斧
Oathkeeper's Helm	誓言守护者头盔
Obsidian Mail Tunic	黑曜石锁甲外衣
Offensive State (DND)	攻击状态（DND）
Onslaught Elixir	猛攻药剂
Onslaught Ring	猛攻指环
Onyxia Scale Leggings	奥妮克希亚鳞片护腿
Onyxia Scale Mask	奥妮克希亚鳞片面罩
Onyxia Scale Shield	奥妮克希亚鳞片盾牌
Onyxian Hood	奥妮克希亚兜帽
Opal Necklace of Impact	冲击蛋白石项链
Opaque Dark Jade	不透明暗玉
Opaque Eye of Zul	不透明祖尔之眼
Opaque Forest Emerald	不透明森林翡翠
Orb of Calamity	灾难宝珠
Ornate Khorium Rifle	华丽氪金步枪
Ornate Saronite Bracers	华丽萨隆邪铁护腕
Ornate Saronite Gauntlets	华丽萨隆邪铁护手
Ornate Saronite Hauberk	华丽萨隆邪铁锁甲
Ornate Saronite Legplates	华丽萨隆邪铁腿铠
Ornate Saronite Pauldrons	华丽萨隆邪铁肩铠
Ornate Saronite Skullshield	华丽萨隆邪铁颅盾
Ornate Saronite Waistguard	华丽萨隆邪铁腰甲
Ornate Saronite Walkers	华丽萨隆邪铁战靴
Ornate Tigerseye Necklace	华丽虎眼石项链
Overcast Belt	阴云腰带
Overcast Boots	阴云长靴
Overcast Bracers	阴云护腕
Overcast Chestguard	阴云胸甲
Overcast Handwraps	阴云裹手
Overcast Headguard	阴云头甲
Overcast Leggings	阴云护腿
Overcast Spaulders	阴云肩甲
Overcharged Capacitor	过载电容器
Overkill - aura remove spell	过度杀戮 - 光环移除法术
Pack of Endless Pockets	无尽口袋背包
Pearl Encrusted Shoulders	珍珠镶嵌护肩
Pendant of Frozen Flame	冰火坠饰
Pendant of Shadow's End	暗影终结坠饰
Pendant of Sunfire	阳炎坠饰
Pendant of Thawing	融冰坠饰
Pendant of Withering	凋零坠饰
Pendant of the Agate Shield	玛瑙之盾坠饰
Pendant of the Null Rune	虚无符文坠饰
Persistent Earthsiege Diamond	持久大地围攻钻石
Persuader	说服者
Pet Scaling - Armor Pct	宠物缩放 - 护甲百分比
Pet Scaling - Attack Speed	宠物缩放 - 攻击速度
Pet Scaling - Crit	宠物缩放 - 暴击
Pet Scaling - Damage Pct	宠物缩放 - 伤害百分比
Pet Scaling - Dodge	宠物缩放 - 躲闪
Pet Scaling - Focus Regen	宠物缩放 - 集中值恢复
Pet Scaling - Health Pct	宠物缩放 - 生命值百分比
Pet Scaling - Hit Chance	宠物缩放 - 命中几率
Pet Scaling - Movement Speed	宠物缩放 - 移动速度
Pickled Fangtooth	腌制尖牙鱼
Pillars of Might	力量之柱
Pirate's Parley	海盗的谈判
Plate Girdle of Righteousness	正义板甲束腰
Poached Bluefish	水煮蓝鱼
Poached Nettlefish	水煮荨麻鱼
Poached Northern Sculpin	水煮北地杜父鱼
Polar Boots	极地长靴
Polar Bracers	极地护腕
Polar Cord	极地束带
Polar Gloves	极地手套
Polar Tunic	极地外衣
Polar Vest	极地背心
Potent Ametrine	强力紫黄晶
Potent Flame Spessarite	强力火焰锰铝榴石
Potent Huge Citrine	强力巨型黄水晶
Potent Monarch Topaz	强力帝王黄玉
Potent Noble Topaz	强力贵族黄玉
Potent Pyrestone	强力焰石
Potion of Anti-Magic	抗魔药水
Potion of Nightmares	噩梦药水
Potion of Plagueward	防疫药水
Potion of Speed	速度药水
Potion of Wild Magic	狂野魔法药水
Power Amplification Goggles	能量放大护目镜
Powerful Earthsiege Diamond	强效大地围攻钻石
Powerful Earthstorm Diamond	强效大地风暴钻石
Powerful Rejuvenation Potion	强效回春药水
Powerheal 4000 Lens	强力治疗4000镜片
Powerheal 9000 Lens	强力治疗9000镜片
Precise Bloodstone	精确血石
Precise Cardinal Ruby	精确红色主教宝石
Precise Dragon's Eye	精确龙眼石
Precise Scarlet Ruby	精确猩红宝石
Primal Mooncloth Bag	原始月布背包
Primal Mooncloth Belt	原始月布腰带
Primal Mooncloth Robe	原始月布长袍
Primal Mooncloth Shoulders	原始月布护肩
Primal-Attuned Goggles	原始协调护目镜
Primalstorm Breastplate	原始风暴胸甲
Primalstrike Belt	原始打击腰带
Primalstrike Bracers	原始打击护腕
Primalstrike Vest	原始打击背心
Pristine Ametrine	纯净紫黄晶
Pristine Black Diamond Amulet	纯净黑钻石护符
Pristine Huge Citrine	纯净巨型黄水晶
Pristine Monarch Topaz	纯净帝王黄玉
Protectors of Life	生命守护者
Protein Shake	蛋白质奶昔
Puissant Dreadstone	强劲恐惧石
Puissant Shadow Crystal	强劲暗影水晶
Puissant Twilight Opal	强劲暮光蛋白石
Pure Silver Shield	纯银盾牌
Purehorn Spaulders	纯角肩甲
Puresteel Legplates	纯钢腿铠
Purified Dreadstone	净化恐惧石
Purified Jaggal Pearl	净化锯齿珍珠
Purified Shadow Crystal	净化暗影水晶
Purified Shadow Pearl	净化暗影珍珠
Purified Shadowsong Amethyst	净化影歌紫晶
Purified Twilight Opal	净化暮光蛋白石
Purple Smoke Flare	紫色烟雾弹
Pygmy Oil	侏儒之油
QA Debug Arcane Spell - 1000 Damage	QA调试奥术法术 - 1000伤害
QA Debug Fire Spell - 1000 Damage	QA调试火焰法术 - 1000伤害
QA Debug Frost Spell - 1000 Damage	QA调试冰霜法术 - 1000伤害
QA Debug Holy Spell - 1000 Damage	QA调试神圣法术 - 1000伤害
QA Debug Nature Spell - 1000 Damage	QA调试自然法术 - 1000伤害
QA Debug Shadow Spell - 1000 Damage	QA调试暗影法术 - 1000伤害
Quad Deathblow X44 Goggles	四重致命一击X44护目镜
Quel'dorei Glaive	奎尔多雷月刃
Quick Autumn's Glow	迅捷秋色石
Quick Bronze Dagger	迅捷青铜匕首
Quick Dawnstone	迅捷黎明石
Quick Dragon's Eye	迅捷龙眼石
Quick King's Amber	迅捷帝王琥珀
Quick Laser Goggles	迅捷激光护目镜
Quick Lionseye	迅捷狮眼石
Quick Sun Crystal	迅捷太阳水晶
Quiver of a Thousand Feathers	千羽箭袋
Radiant Dark Jade	光辉暗玉
Radiant Deep Peridot	光辉深橄榄石
Radiant Eye of Zul	光辉祖尔之眼
Radiant Forest Emerald	光辉森林翡翠
Radiant Seaspray Emerald	光辉海浪翡翠
Radiant Talasite	光辉塔拉石
Ragesteel Breastplate	怒钢胸甲
Ragesteel Gloves	怒钢手套
Ragesteel Helm	怒钢头盔
Ragesteel Shoulders	怒钢护肩
Ravager Dog	掠夺者热狗
Razorstrike Breastplate	剃刀打击胸甲
Reckless Ametrine	鲁莽紫黄晶
Reckless Huge Citrine	鲁莽巨型黄水晶
Reckless Monarch Topaz	鲁莽帝王黄玉
Reckless Noble Topaz	鲁莽贵族黄玉
Reckless Pyrestone	鲁莽焰石
Red Belt of Battle	红色战斗腰带
Red Dragonscale Boots	红色龙鳞长靴
Red Dragonscale Leggings	红色龙鳞护腿
Red Dragonscale Shoulders	红色龙鳞护肩
Red Havoc Boots	红色浩劫长靴
Red Lumberjack Shirt	红色伐木工衬衣
Red Ring of Destruction	红色毁灭指环
Red Rocket Cluster	红色火箭束
Red Smoke Flare	红色烟雾弹
Red Winter Clothes	红色冬装
Red Workman's Shirt	红色工人衬衣
Redeemed Soul Cinch	救赎灵魂束腰
Redeemed Soul Legguards	救赎灵魂护腿
Redeemed Soul Moccasins	救赎灵魂软靴
Redeemed Soul Wristguards	救赎灵魂护腕
Redeemer's Alchemist Stone	救赎者炼金石
Regal Dreadstone	庄严恐惧石
Regal Nightseye	庄严夜眼石
Regal Shadow Crystal	庄严暗影水晶
Regal Twilight Opal	庄严暮光蛋白石
Reinforced Cobalt Chestpiece	强化钴蓝胸甲
Reinforced Cobalt Helm	强化钴蓝头盔
Reinforced Cobalt Legplates	强化钴蓝腿铠
Reinforced Cobalt Shoulders	强化钴蓝肩铠
Reinforced Mining Bag	强化矿石袋
Reinforced Tiger Goggles	强化虎眼护目镜
Relentless Earthsiege Diamond	无情大地围攻钻石
Relentless Earthstorm Diamond	无情大地风暴钻石
Resolute Ametrine	坚定紫黄晶
Resolute Cape	坚定披风
Resolute Huge Citrine	坚定巨型黄水晶
Resolute Monarch Topaz	坚定帝王黄玉
Resplendent Ametrine	辉煌紫黄晶
Resplendent Huge Citrine	辉煌巨型黄水晶
Resplendent Monarch Topaz	辉煌帝王黄玉
Resurgent Healing Potion	复苏治疗药水
Revantusk Disguise	腐牙伪装
Revenant's Breastplate	亡魂胸甲
Revenant's Treads	亡魂战靴
Revitalizing Skyflare Diamond	焕新天焰钻石
Rhino Dogs	犀牛热狗
Rhinolicious Wormsteak	美味犀牛虫肉排
Riding Crop	骑术鞭
Righteous Gauntlets	正义护手
Righteous Greaves	正义胫甲
Rigid Autumn's Glow	刚硬秋色石
Rigid Dawnstone	刚硬黎明石
Rigid Dragon's Eye	刚硬龙眼石
Rigid Golden Draenite	刚硬金色德莱尼特
Rigid King's Amber	刚硬帝王琥珀
Rigid Lionseye	刚硬狮眼石
Rigid Sun Crystal	刚硬太阳水晶
Ring of Arcane Shielding	奥术护盾指环
Ring of Bitter Shadows	苦涩暗影指环
Ring of Earthen Might	大地之力指环
Ring of Flowing Life	流动生命指环
Ring of Northern Tears	北地之泪指环
Ring of Scarlet Shadows	猩红暗影指环
Ring of Silver Might	银色力量指环
Ring of Twilight Shadows	暮光暗影指环
Rituals of the New Moon	新月仪式
Roasted Clefthoof	烤裂蹄牛肉
Roasted Moongraze Tenderloin	烤月痕里脊
Roasted Worg	烤座狼肉
Robe of Affinity	亲和长袍
Robe of Eternal Light	永恒之光长袍
Rock-Steady Treads	稳如磐石战靴
Rocket Boots Xtreme	火箭靴至尊版
Rocket Boots Xtreme Lite	火箭靴至尊轻便版
Rough Bronze Gloves	粗制青铜手套
Rough Bronze Shield	粗制青铜盾牌
Rough Leather Cap	粗制皮帽
Royal Dreadstone	皇家恐惧石
Royal Guide of Escape Routes	皇家逃生路线指南
Royal Ink	皇家墨水
Royal Nightseye	皇家夜眼石
Royal Shadow Crystal	皇家暗影水晶
Royal Shadow Draenite	皇家暗影德莱尼特
Royal Shadowsong Amethyst	皇家影歌紫晶
Royal Twilight Opal	皇家暮光蛋白石
Ruby Crown of Restoration	恢复红宝石王冠
Ruby Hare	红宝石野兔
Ruby Pendant of Fire	火焰红宝石坠饰
Runecloth Bracers	符文布护腕
Runed Adamantite Rod	符文精金棒
Runed Blood Garnet	符文血石榴石
Runed Bloodstone	符文血石
Runed Cardinal Ruby	符文红色主教宝石
Runed Crimson Spinel	符文深红尖晶石
Runed Dragon's Eye	符文龙眼石
Runed Eternium Rod	符文恒金棒
Runed Fel Iron Rod	符文魔铁棒
Runed Living Ruby	符文活化红宝石
Runed Mana Band	符文法力指环
Runed Scarlet Ruby	符文猩红宝石
Runed Titanium Rod	符文泰坦棒
Runescroll of Fortitude	坚韧符文卷轴
Runic Hammer	符文之锤
Runic Healing Potion	符文治疗药水
Runic Mana Potion	符文法力药水
Runic Spellthread	符文魔线
Rustic Workman's Shirt	朴素工人衬衣
Sageblade	贤者之刃
Sagefish Delight	鼠尾鱼美食
Salt-Scoured Blunderbuss	盐蚀火枪
Sandals of Consecration	奉献凉鞋
Sapphire Owl	蓝宝石猫头鹰
Sapphire Pendant of Winter Night	冬夜蓝宝石坠饰
Sapphire Signet	蓝宝石图章戒指
Sapphire Spellthread	蓝宝石魔线
Saronite Ambusher	萨隆邪铁伏击者
Saronite Bulwark	萨隆邪铁壁垒
Saronite Defender	萨隆邪铁防御者
Saronite Mindcrusher	萨隆邪铁碎心者
Saronite Protector	萨隆邪铁保护者
Saronite Razorheads	萨隆邪铁剃刀箭头
Saronite Shiv	萨隆邪铁小刀
Saronite Spellblade	萨隆邪铁法术之刃
Sash of Ancient Power	远古之力腰带
Satchel of Cenarius	塞纳里奥背包
Sauteed Goby	嫩煎虾虎鱼
Sauteed Plated Armorfish	嫩煎铠甲鱼
Savage Cobalt Slicer	野蛮钴蓝切割者
Savage Saronite Bracers	野蛮萨隆邪铁护腕
Savage Saronite Gauntlets	野蛮萨隆邪铁护手
Savage Saronite Hauberk	野蛮萨隆邪铁锁甲
Savage Saronite Legplates	野蛮萨隆邪铁腿铠
Savage Saronite Pauldrons	野蛮萨隆邪铁肩铠
Savage Saronite Skullshield	野蛮萨隆邪铁颅盾
Savage Saronite Waistguard	野蛮萨隆邪铁腰甲
Savage Saronite Walkers	野蛮萨隆邪铁战靴
Savage Titanium Band	野蛮泰坦指环
Savage Titanium Ring	野蛮泰坦戒指
Savior's Slippers	救世者便鞋
Scaled Draenic Boots	鳞片德莱尼长靴
Scaled Draenic Gloves	鳞片德莱尼手套
Scaled Draenic Pants	鳞片德莱尼短裤
Scaled Draenic Vest	鳞片德莱尼背心
Scaled Icewalkers	鳞片冰行者
Scarlet Signet	猩红图章戒指
Scrapbot Construction Kit	废料机器人建造套件
Scroll of Agility	敏捷卷轴
Scroll of Agility II	敏捷卷轴 II
Scroll of Agility III	敏捷卷轴 III
Scroll of Agility IV	敏捷卷轴 IV
Scroll of Agility V	敏捷卷轴 V
Scroll of Agility VI	敏捷卷轴 VI
Scroll of Agility VII	敏捷卷轴 VII
Scroll of Agility VIII	敏捷卷轴 VIII
Scroll of Intellect	智力卷轴
Scroll of Intellect II	智力卷轴 II
Scroll of Intellect III	智力卷轴 III
Scroll of Intellect IV	智力卷轴 IV
Scroll of Intellect V	智力卷轴 V
Scroll of Intellect VI	智力卷轴 VI
Scroll of Intellect VII	智力卷轴 VII
Scroll of Intellect VIII	智力卷轴 VIII
Scroll of Recall	回忆卷轴
Scroll of Recall II	回忆卷轴 II
Scroll of Recall III	回忆卷轴 III
Scroll of Spirit	精神卷轴
Scroll of Spirit II	精神卷轴 II
Scroll of Spirit III	精神卷轴 III
Scroll of Spirit IV	精神卷轴 IV
Scroll of Spirit V	精神卷轴 V
Scroll of Spirit VI	精神卷轴 VI
Scroll of Spirit VII	精神卷轴 VII
Scroll of Spirit VIII	精神卷轴 VIII
Scroll of Stamina	耐力卷轴
Scroll of Stamina II	耐力卷轴 II
Scroll of Stamina III	耐力卷轴 III
Scroll of Stamina IV	耐力卷轴 IV
Scroll of Stamina V	耐力卷轴 V
Scroll of Stamina VI	耐力卷轴 VI
Scroll of Stamina VII	耐力卷轴 VII
Scroll of Stamina VIII	耐力卷轴 VIII
Scroll of Strength	力量卷轴
Scroll of Strength II	力量卷轴 II
Scroll of Strength III	力量卷轴 III
Scroll of Strength IV	力量卷轴 IV
Scroll of Strength V	力量卷轴 V
Scroll of Strength VI	力量卷轴 VI
Scroll of Strength VII	力量卷轴 VII
Scroll of Strength VIII	力量卷轴 VIII
Seafarer's Swig	航海者的畅饮
Seafoam Gauntlets	海沫护手
Searing Grips	灼热握手
Searing Mitts	灼热手套
Seer's Dark Jade	先知暗玉
Seer's Eye of Zul	先知祖尔之眼
Seer's Forest Emerald	先知森林翡翠
Shadesteel Bracers	影钢护腕
Shadesteel Girdle	影钢束腰
Shadesteel Greaves	影钢胫甲
Shadesteel Sabots	影钢铁靴
Shadow Armor Kit	暗影护甲片
Shadow Crystal Focusing Lens	暗影水晶聚焦镜片
Shadow Jade Focusing Lens	暗影玉聚焦镜片
Shadowmight Ring	暗影之力指环
Shadowprowler's Chestguard	暗影潜行者胸甲
Shadowy Tarot	暗影塔罗牌
Shath'Yar	沙斯雅尔
Shatter Rounds	碎裂弹药
Shattered Dark Jade	碎裂暗玉
Shattered Eye of Zul	碎裂祖尔之眼
Shattered Forest Emerald	碎裂森林翡翠
Shawl of Unwarmth	寒冷披肩
Shifting Dreadstone	变幻恐惧石
Shifting Nightseye	变幻夜眼石
Shifting Shadow Crystal	变幻暗影水晶
Shifting Shadow Draenite	变幻暗影德莱尼特
Shifting Shadowsong Amethyst	变幻影歌紫晶
Shifting Twilight Opal	变幻暮光蛋白石
Shimmering Ink	闪光墨水
Shining Dark Jade	闪耀暗玉
Shining Eye of Zul	闪耀祖尔之眼
Shining Forest Emerald	闪耀森林翡翠
Shining Spellthread	闪耀魔线
Shiny Agate Ring	闪亮玛瑙指环
Shiny Aquamarine Ring	闪亮海蓝宝石指环
Shoulderpads of Dazzling Light	炫目之光护肩
Shoulderpads of Renewed Life	新生护肩
Shoulders of Lightning Reflexes	闪电反射护肩
Shoveltusk Steak	铲牙牛肉排
Shrouding Potion	隐蔽药水
Sigil	符印
Silky Iceshard Boots	丝滑冰碎长靴
Silver Moonstone Necklace	银色月亮石项链
Silver Rose Pendant	银色玫瑰坠饰
Silver Spellthread	银色魔线
Simple Opal Ring	简易蛋白石指环
Simple Pearl Ring	简易珍珠指环
Skullfish Soup	骷髅鱼汤
Sky Sapphire Amulet	天蓝宝石护符
Skyforged Great Axe	天铸巨斧
Small Blue Rocket	小型蓝色火箭
Small Feast	小型宴席
Small Green Rocket	小型绿色火箭
Small Red Rocket	小型红色火箭
Smelt Arcanite	熔炼奥金
Smoked Lava Kisser	烟熏熔岩之吻
Smoked Rockfin	烟熏岩鳍鱼
Smoked Sagefish	烟熏鼠尾鱼
Smoked Salmon	烟熏三文鱼
Smooth Autumn's Glow	圆滑秋色石
Smooth Dawnstone	圆滑黎明石
Smooth Dragon's Eye	圆滑龙眼石
Smooth Golden Draenite	圆滑金色德莱尼特
Smooth King's Amber	圆滑帝王琥珀
Smooth Lionseye	圆滑狮眼石
Smooth Sun Crystal	圆滑太阳水晶
Snapper Extreme	极品鲷鱼
Sneaking Potion	潜行药水
Snowfall Ink	雪落墨水
Solid Azure Moonstone	坚固碧蓝月亮石
Solid Bronze Ring	坚固青铜指环
Solid Chalcedony	坚固玉髓
Solid Dragon's Eye	坚固龙眼石
Solid Empyrean Sapphire	坚固苍穹蓝宝石
Solid Majestic Zircon	坚固帝王锆石
Solid Sky Sapphire	坚固天蓝宝石
Solid Star of Elune	坚固月神之星
Sonic Booster	音速增压器
Sorcerer's Alchemist Stone	巫师炼金石
Soul Mirror	灵魂之镜
Soul Pouch	灵魂袋
Soulcloth Gloves	灵魂布手套
Soulcloth Shoulders	灵魂布护肩
Soulcloth Vest	灵魂布背心
Soulguard Bracers	灵魂守卫护腕
Soulguard Girdle	灵魂守卫束腰
Soulguard Leggings	灵魂守卫护腿
Soulguard Slippers	灵魂守卫便鞋
South Seas Rug	南海地毯
Sovereign Dreadstone	至尊恐惧石
Sovereign Nightseye	至尊夜眼石
Sovereign Shadow Crystal	至尊暗影水晶
Sovereign Shadow Draenite	至尊暗影德莱尼特
Sovereign Shadowsong Amethyst	至尊影歌紫晶
Sovereign Twilight Opal	至尊暮光蛋白石
Sparkling Azure Moonstone	闪烁碧蓝月亮石
Sparkling Chalcedony	闪烁玉髓
Sparkling Dragon's Eye	闪烁龙眼石
Sparkling Empyrean Sapphire	闪烁苍穹蓝宝石
Sparkling Majestic Zircon	闪烁帝王锆石
Sparkling Sky Sapphire	闪烁天蓝宝石
Sparkling Star of Elune	闪烁月神之星
Spellfire Bag	魔火背包
Spellfire Belt	魔火腰带
Spellfire Gloves	魔火手套
Spellfire Robe	魔火长袍
Spellpower Elixir	法术能量药剂
Spellslinger's Slippers	法术投手便鞋
Spellstrike Hood	法术打击兜帽
Spellstrike Pants	法术打击短裤
Spellweave	魔纹布
Spellweave Gloves	魔纹布手套
Spellweave Robe	魔纹布长袍
Spellweaver	魔纹编织者
Spiced Mammoth Treats	香料猛犸零食
Spiced Worm Burger	香料虫肉汉堡
Spicy Blue Nettlefish	辣味蓝色荨麻鱼
Spicy Crawdad	辣味螯虾
Spicy Fried Herring	辣味炸鲱鱼
Spicy Hot Talbuk	辣味塔布羊肉
Spidersilk Drape	蛛丝披风
Spidersilk Turban	蛛丝头巾
Spiked Cobalt Belt	尖刺钴蓝腰带
Spiked Cobalt Boots	尖刺钴蓝长靴
Spiked Cobalt Bracers	尖刺钴蓝护腕
Spiked Cobalt Chestpiece	尖刺钴蓝胸甲
Spiked Cobalt Gauntlets	尖刺钴蓝护手
Spiked Cobalt Helm	尖刺钴蓝头盔
Spiked Cobalt Legplates	尖刺钴蓝腿铠
Spiked Cobalt Shoulders	尖刺钴蓝肩铠
Spiked Deathdealers	尖刺死亡使者
