name_en	name_zh
Scorpid Poison	毒蝎之毒
Tranquil Spirit	平静之魂
Greater Blessing of Might	强效力量祝福
Thunderstomp	雷霆践踏
Lightwell	圣光之泉
Improved Berserker Stance	强化狂暴姿态
Contagion	瘟疫感染
Demonic Tactics	恶魔战术
Shadow and Flame	暗影与烈焰
Unrelenting Storm	无尽风暴
Elemental Overload	元素过载
Totem of Wrath	愤怒图腾
Nature's Guardian	自然守护者
Deadliness	致命性
Sinister Calling	邪恶召唤
Deadened Nerves	钝化神经
Mind Mastery	精神掌握
Empowered Fireball	强化火球术
Arctic Winds	北风
Empowered Frostbolt	强化寒冰箭
Holy Guidance	神圣指引
Ardent Defender	炽热防御者
Combat Expertise	战斗专精
Fanaticism	狂热
Avenger's Shield	复仇之盾
Empowered Healing	强化治疗
Shadow Power	暗影之力
Wrath of Cenarius	塞纳里奥之怒
Predatory Instincts	掠食者本能
Mangle (Cat)	裂伤（猎豹）
Mangle (Bear)	裂伤（熊）
Empowered Rejuvenation	强化回春术
Serpent's Swiftness	蛇之迅捷
Master Marksman	精准射击大师
Enlightenment	启迪
Improved Mortal Strike	强化致死打击
Combat Potency	战斗之力
Chilled to the Bone	彻骨严寒
Wrecking Crew	破坏者
Everlasting Affliction	永恒痛苦
Fire and Brimstone	烈焰与硫磺
Divine Providence	神恩
Twisted Faith	扭曲的信仰
Twin Disciplines	双重戒律
Rend and Tear	撕咬
Bladed Armor	利刃护甲
Dark Conviction	黑暗信念
Obliterate	湮没
Black Ice	黑冰
Blade Barrier	刀锋屏障
Tundra Stalker	冻原潜行者
Impurity	不洁
Rage of Rivendare	瑞文戴尔之怒
Icy Talons	冰爪
Killing Machine	杀戮机器
Gift of the Earthmother	大地之母的眷顾
Necrosis	坏死
Maelstrom Weapon	漩涡武器
Tidal Waves	潮汐波
Cut to the Chase	切入追击
Prey on the Weak	以弱示强
Slaughter from the Shadows	暗影杀戮
Improved Tracking	强化追踪
Borrowed Time	借用的时间
Marked for Death	致命标记
Explosive Shot	爆炸射击
Shadow Bite	暗影撕咬
Fel Intelligence	邪能智力
Kindred Spirits	亲密无间
Unending Fury	无尽暴怒
Genesis	起源
Shamanism	萨满学识
Divinity	神圣
Desolation	荒芜
Bless Water	祝福之水
Embrace of the Cycle	轮回之拥
Natural Talent	自然天赋
Made of Metal	坚如磐石
Beasts of the Wild	野性之兽
Blessing of Sanctuary	庇护祝福
Prayer of Fortitude	坚韧祷言
Furious Howl	狂怒咆哮
Fel Armor	邪甲术
Master of Schools	流派大师
Healing Way	治疗之道
Incinerate	烧尽
Rampage	狂乱
Second Wind	二度呼吸
Light's Grace	圣光恩赐
Shadow Word: Death	暗言术：灭
Envenom	毒伤
Prayer of Mending	愈合祷言
Blessed Resilience	神圣韧性
Anguish	痛苦
Steady Shot	稳固射击
Survival Instincts	生存本能
Expose Weakness	暴露弱点
Backlash	反冲
Rapid Killing	快速杀戮
Concussive Barrage	震荡弹幕
Death and Decay	死亡凋零
Incanter's Absorption	咒术师的吸收
Trauma	创伤
Safeguard	安全卫士
Empowered Imp	强化小鬼
Mind Sear	精神灼烧
Haunt	鬼魂缠身
Riptide	激流
Magic Rooster	魔法公鸡
Increased Pet Talent	宠物天赋强化
Berserking	狂怒
Monster Slaying	怪物杀戮
Arcane Torrent	奥术洪流
Pursuit of Justice	追求正义
Curse of Agony	苦痛诅咒
Prayer of Shadow Protection	暗影防护祷言
Arcane Fortitude	奥术韧性
Elemental Warding	元素防护
Eye of the Storm	风暴之眼
Healing Grace	治疗优雅
Improved Defensive Stance	强化防御姿态
Dirge	挽歌
Improved Disciplines	强化戒律
Focused Rage	专注怒气
Demonic Aegis	恶魔之盾
Intercept Stun	拦截昏迷
Soul Leech	灵魂汲取
Nether Protection	虚空防护
Demonic Resilience	恶魔韧性
Mana Feed	法力输送
Ice Lance	寒冰急速
Elemental Shields	元素护盾
Mental Quickness	思维敏捷
Weapon Specialization	武器专精
Nature's Blessing	自然赐福
Blade Twisting	回旋刀锋
Enveloping Shadows	阴影缠绕
Master of Subtlety	敏锐大师
Master Poisoner	下毒大师
Cheat Death	作弊死亡
Arcane Potency	奥术强击
Prismatic Cloak	棱彩披风
Empowered Arcane Missiles	强化奥术飞弹
Playing with Fire	玩火
Frozen Core	冰冻核心
Ice Floes	浮冰
Pure of Heart	纯粹之心
Blessed Life	神佑人生
Stoicism	坚韧不拔
Crusade	十字军
Divine Purpose	神圣意志
Sanctified Judgement	神圣裁决
Sanctified Seals	神圣印记
Empowered Corruption	强化腐蚀术
Malediction	诅咒
Binding Heal	联结治疗
Surge of Light	圣光灵感
Absolution	免罪
Lunar Guidance	月之指引
Dreamstate	梦境
Improved Faerie Fire	强化精灵之火
Lacerate	割裂
Lifebloom	生命绽放
Primal Tenacity	野性坚韧
Survival of the Fittest	适者生存
Natural Perfection	完美自然
Living Spirit	鲜活之魂
Pyromaniac	纵火狂
Improved Leader of the Pack	强化豹群领袖
Catlike Reflexes	敏捷如猫
Careful Aim	精确瞄准
Resourcefulness	节能
Thrill of the Hunt	狩猎刺激
Holy Concentration	神圣专注
Improved Barrage	强化弹幕
Poison Spit	毒液喷吐
Demonic Knowledge	恶魔知识
Student of the Mind	精神学徒
Netherwind Presence	虚空风暴气定
Firestarter	燃焰者
Hot Streak	热力迸发
Fingers of Frost	冰霜指
Brain Freeze	冰冻大脑
Enduring Winter	寒冬
Intensify Rage	激怒
Furious Attacks	暴怒攻击
Bloodsurge	血涌
Sword and Board	剑与盾
Eradication	根除
Death's Embrace	死亡之拥
Molten Core	熔火之心
Backdraft	爆燃
Torture	拷问
Critical Block	致命格挡
Divine Aegis	神圣之盾
Rapture	狂喜
Test of Faith	信仰考验
Pain and Suffering	痛苦与折磨
Improved Moonkin Form	强化枭兽形态
Owlkin Frenzy	枭兽狂怒
Spark of Nature	自然之火
Infected Wounds	感染伤口
Improved Mangle	强化裂伤
King of the Jungle	丛林之王
Living Seed	生命之种
Earth and Moon	大地与月亮
Eclipse	日月双蚀
Improved Tree of Life	强化生命之树
Revitalize	激活
Virulence	毒性
Morbidity	病态
Ravenous Dead	贪婪亡者
Bloody Strikes	血之打击
Improved Rune Tap	强化符文之触
Subversion	颠覆
Scent of Blood	血之气息
Veteran of the Third War	第三次战争老兵
Outbreak	爆发
Vendetta	仇杀
Sudden Doom	末日降临
Might of Mograine	莫格莱尼之力
Bloodworms	血虫
Crypt Fever	墓穴热病
Spell Deflection	法术偏斜
Improved Icy Touch	强化冰冷触摸
Frigid Dreadplate	冰冷恐惧铠
Rime	白霜
Acclimation	适应
Reaping	收割
Wandering Plague	游荡瘟疫
Blood-Caked Blade	血浆之刃
Magic Suppression	法术压制
Nerves of Cold Steel	冷钢意志
Death Rune Mastery	死亡符文精通
Glacier Rot	冰川腐蚀
Death Grip	死亡之握
Chilblains	冻疮
Guile of Gorefiend	血魔的奸诈
Incite	煽动
Ebon Plaguebringer	漆黑瘟疫使者
Annihilation	湮灭
Astral Shift	星界转移
Lava Flows	熔岩涌动
Storm, Earth and Fire	风暴、大地与烈焰
Static Shock	静电冲击
Ancestral Awakening	先祖觉醒
Turn the Tables	形势逆转
Waylay	伏击
Mental Dexterity	敏锐思维
Culling the Herd	杀戮本能
Spiked Collar	尖刺项圈
Wild Quiver	野性箭袋
Piercing Shots	穿刺射击
Invigoration	活力
Cobra Strikes	眼镜蛇打击
Longevity	长生
Hunting Party	狩猎小队
Noxious Stings	剧毒之蛰
Sniper Training	狙击训练
Kill Shot	杀戮射击
Swift Retribution	迅捷惩戒
Righteous Vengeance	公正复仇
Great Resistance	强效抗性
Sheath of Light	圣光刀鞘
Touched by the Light	圣光洗礼
Focused Aim	专注瞄准
Shield of the Templar	圣殿骑士之盾
Improved Demonic Tactics	强化恶魔战术
Blood of the North	北地之血
Burning Determination	燃烧的决心
T.N.T.	高能炸药
Hunter vs. Wild	荒野猎人
Taste for Blood	嗜血
Rune Strike	符文打击
Improved Insect Swarm	强化虫群
Protector of the Pack	豹群守护者
Natural Reaction	自然反击
Armored to the Teeth	武装到牙齿
Great Stamina	强效耐力
Nemesis	宿敌
Molten Skin	熔岩之肤
Improved Flash Heal	强化快速治疗
Empowered Renew	强化恢复
Improved Devouring Plague	强化吞噬瘟疫
Threat of Thassarian	萨萨里安的威胁
Power Word: Barrier	真言术：障
Soothe Elemental	安抚元素
Rolling Thunder	滚滚惊雷
Indomitable Fury	不屈狂怒
Ancient Fury	远古狂怒
Gnomish Fury	侏儒狂怒
Mountainous Fury	巍峨狂怒
Forsaken Fury	被遗忘者狂怒
Enervate	虚弱
Maim	致残
Rapid Recuperation	快速恢复
Point of No Escape	在劫难逃
Sanctified Wrath	神圣愤怒
Lionhearted	雄狮之心
Grace of the Mantis	螳螂优雅
Blood of the Rhino	犀牛之血
Feeding Frenzy	狂乱进食
Owl's Focus	枭的专注
Divine Guardian	神圣守护者
Enlightened Judgements	开悟的审判
Guarded by the Light	圣光的守护
Shield of Righteousness	正义盾击
Blessed Hands	神佑之手
Judgements of the Just	公正的审判
Improved Fear	强化恐惧术
Improved Felhunter	强化地狱猎犬
Improved Soul Leech	强化灵魂汲取
Focus Magic	魔法专注
Glyph of Rejuvenation	回春术雕文
Glyph of Holy Light	圣光术雕文
Icy Reach	冰冷延伸
Cold as Ice	冷若坚冰
Tidal Force	潮汐之力
Torment the Weak	凌弱
Mechano-hog	机械摩托
Glyph of Healing Wave	治疗波雕文
Night of the Dead	亡者之夜
Desecration	亵渎
Duskweave Boots	微光编织长靴
Glyph of Dispel Magic	驱散魔法雕文
Glyph of Power Word: Shield	真言术：盾雕文
Glyph of Prayer of Healing	治疗祷言雕文
Bladed Pickaxe	刀刃镐
Horn of Winter	寒冬号角
Renewed Hope	重生希望
Tricks of the Trade	嫁祸
Filthy Tricks	卑鄙把戏
Overkill	过度杀戮
Damage Shield	伤害护盾
Improved Spell Reflection	强化法术反射
Enchant Ring - Stamina	附魔戒指 - 耐力
Black War Mammoth	黑色战争猛犸
Wooly Mammoth	毛皮猛犸
Ice Mammoth	冰霜猛犸
Armored Brown Bear	装甲棕熊
Black War Bear	黑色战熊
Grand Caravan Mammoth	大型商队猛犸
Freezing Arrow	冰冻之箭
Elixir of Accuracy	精准药剂
Mekgineer's Chopper	麦卡贡摩托
Flying Carpet	飞行地毯
Magnificent Flying Carpet	华丽的飞行地毯
Traveler's Tundra Mammoth	旅行者的猛犸象
Grand Black War Mammoth	大型黑色战争猛犸
Cobra Reflexes	眼镜蛇反射
Natural Armor	自然护甲
Aspect of the Dragonhawk	龙鹰守护
Pumpkin Pie	南瓜派
Slow-Roasted Turkey	慢烤火鸡
Cranberry Chutney	酸莓酱
Spice Bread Stuffing	香料面包填馅
Candied Sweet Potato	蜜汁番薯
Wild Hunt	野外狩猎
Shark Attack	鲨鱼袭击
Silverback	银背
Improved Death Strike	强化死亡缠绕
Decimation	大屠杀
Murkimus the Gladiator	角斗士墨基穆斯
Booming Echoes	轰鸣回响
Frozen Power	冰霜之力
Improved Barkskin	强化树皮术
Psychic Horror	心灵恐惧
Body and Soul	身心合一
Shattering Throw	碎裂投掷
Divine Hymn	神恩圣歌
Hymn of Hope	希望圣歌
Argent Warhorse	银色战马
Royal Moonshroud Robe	皇家月纱长袍
Royal Moonshroud Bracers	皇家月纱护腕
Merlin's Robe	梅林长袍
Bejeweled Wizard's Bracers	镶珠法师护腕
Ensorcelled Nerubian Breastplate	附魔蛛魔胸甲
Black Chitin Bracers	黑色甲壳护腕
Crusader's Dragonscale Breastplate	十字军龙鳞胸甲
Crusader's Dragonscale Bracers	十字军龙鳞护腕
Lunar Eclipse Robes	月蚀长袍
Moonshadow Armguards	月影护臂
Knightbane Carapace	骑士克星甲壳
Bracers of Swift Death	迅捷死亡护腕
Breastplate of the White Knight	白骑士胸甲
Saronite Swordbreakers	萨隆邪铁碎剑护腕
Titanium Razorplate	钛钢利刃铠甲
Titanium Spikeguards	钛钢尖刺护腕
Sunforged Breastplate	日铸胸甲
Sunforged Bracers	日铸护腕
Frosty Flying Carpet	冰霜飞行地毯
Seal of Dedication	奉献圣印
Improved Shadow Bite	强化暗影撕咬
Repair All	完全修理
Zenith	天顶
Death Touch	死亡之触
Area Death (TEST)	区域死亡（测试）
Honorless Target	无荣誉目标
dmg7	伤害7
Mithril Head Trout	秘银头鳟鱼
Gingerbread Cookie	姜饼
Egg Nog	蛋奶酒
Battle Stance Passive	战斗姿态被动
Sulfuron Hammer	萨弗隆之锤
Spider Sausage	蜘蛛香肠
Bear Form (Passive2)	熊形态（被动2）
Rogue Passive (DND)	盗贼被动（切勿使用）
Edge of Winter	寒冬之刃
Elixir of Frost Power	冰霜之力药剂
Enchant Weapon - Winter's Might	附魔武器 - 冬之力量
Snowmaster 9000	暴雪9000型
Gloves of the Greatfather	祖父的手套
Green Holiday Shirt	绿色节日衬衫
Remove Insignia	移除徽记
Rugged Leather	厚皮
Tender Wolf Steak	嫩狼排
Field Repair Bot 74A	74A型野外修理机器人
Shadowskin Gloves	暗影皮手套
Black War Steed	黑色战驹
Black War Kodo	黑色战争科多兽
Black Battlestrider	黑色战斗科多鸟
Black War Ram	黑色战斗羊
Black War Raptor	黑色战争迅猛龙
Red Skeletal Warhorse	红色骷髅战马
Black War Tiger	黑色战争虎
Black War Wolf	黑色战狼
Core Armor Kit	熔火护甲
Major Rejuvenation Potion	特效回春药水
Enchant Weapon - Spellpower	附魔武器 - 法术强度
Enchant Weapon - Healing Power	附魔武器 - 治疗强度
Elemental Sharpening Stone	元素磨刀石
Flarecore Wraps	烈焰核心护腕
Runn Tum Tuber Surprise	芜朵土豆
Biznicks 247x128 Accurascope	247x128精度瞄准镜
Core Marksman Rifle	熔火射手步枪
Force Reactive Disk	反冲光盘
Elixir of Greater Water Breathing	强效水下呼吸药剂
Opening - No Text	开启 - 无文字
Barkskin	树皮术
Belt of the Archmage	大法师腰带
Felcloth Gloves	魔纹布手套
Inferno Gloves	地狱火手套
Mooncloth Gloves	月布手套
Cloak of Warding	防护斗篷
Mooncloth Robe	月布长袍
Girdle of Insight	洞察腰带
Mongoose Boots	猫鼬长靴
Swift Flight Bracers	迅捷飞行护腕
Chromatic Cloak	多色斗篷
Hide of the Wild	野性之皮
Shifting Cloak	变幻斗篷
Fire Vulnerability	火焰易伤
Smelt Elementium	冶炼源生石
Red Firework	红色烟花
Blue Firework	蓝色烟花
Green Firework	绿色烟花
EZ-Thro Dynamite II	简易投掷炸药 II
Dense Dynamite	致密炸药
Truesilver Transformer	真银变压器
Gyrofreeze Ice Reflector	陀螺冰冷反射器
Goblin Jumper Cables XL	哥布林跨接电缆XL
Major Recombobulator	强效再组合器
Powerful Seaforium Charge	强效海藻岩炸药
Ultra-Flash Shadow Reflector	超级闪光暗影反射器
Gnomish Alarm-o-Bot	侏儒警报机器人
World Enlarger	世界放大器
Summon Dreadsteed	召唤恐惧战马
Heavy Leather Ball	重皮球
Swift Mistsaber	迅捷薄雾豹
Swift Dawnsaber	迅捷晨光豹
Swift Frostsaber	迅捷冰霜豹
Swift Yellow Mechanostrider	迅捷黄色机械陆行鸟
Swift White Mechanostrider	迅捷白色机械陆行鸟
Swift Green Mechanostrider	迅捷绿色机械陆行鸟
Swift Palomino	迅捷白马
Swift White Steed	迅捷白色战驹
Swift Brown Steed	迅捷棕色战驹
Swift Brown Ram	迅捷棕色山羊
Swift Gray Ram	迅捷灰色山羊
Swift White Ram	迅捷白色山羊
Swift Blue Raptor	迅捷蓝色迅猛龙
Swift Olive Raptor	迅捷橄榄色迅猛龙
Swift Orange Raptor	迅捷橘色迅猛龙
Purple Skeletal Warhorse	紫色骷髅战马
Great White Kodo	巨型白色科多兽
Great Gray Kodo	巨型灰色科多兽
Great Brown Kodo	巨型棕色科多兽
Swift Brown Wolf	迅捷棕色座狼
Swift Timber Wolf	迅捷森林座狼
Swift Gray Wolf	迅捷灰色座狼
Swift Stormsaber	迅捷风暴豹
Barbaric Bracers	野蛮护腕
Albino Snapjaw	白化鳖
Loggerhead Snapjaw	红海龟
Olive Snapjaw	橄榄色鳖
Leatherback Snapjaw	棱皮龟
Hawksbill Snapjaw	玳瑁
Dimensional Ripper - Everlook	异次元切割器 - 永望镇
Ultrasafe Transporter - Gadgetzan	超安全传送器 - 加基森
Snake Burst Firework	蛇爆烟花
Frostwolf Howler	霜狼嗥狼
Stormpike Battle Charger	雷矛战骑
Tiny Red Dragon	小红龙
Tiny Green Dragon	小绿龙
Heavy Timbermaw Belt	重型木喉腰带
Heavy Timbermaw Boots	重型木喉长靴
Girdle of the Dawn	晨光腰带
Gloves of the Dawn	晨光手套
Dark Iron Helm	黑铁头盔
Dark Iron Gauntlets	黑铁护手
Black Amnesty	黑色遗忘
Blackfury	黑色狂怒
Ebon Hand	漆黑之手
Blackguard	黑色卫士
Wisdom of the Timbermaw	木喉的智慧
Mantle of the Timbermaw	木喉披肩
Argent Boots	银色长靴
Argent Shoulders	银色护肩
Flarecore Robe	烈焰核心长袍
Flarecore Leggings	烈焰核心护腿
Might of the Timbermaw	木喉之力
Timbermaw Brawlers	木喉战斗手套
Dawn Treaders	晨光行者
Golden Mantle of the Dawn	金色晨光披肩
Lava Belt	熔岩腰带
Chromatic Gauntlets	多彩护手
Corehound Belt	熔岩犬腰带
Molten Belt	熔岩腰带
Powerful Anti-Venom	强效抗毒剂
Stoneclaw Totem TEST	石爪图腾测试
Enchant Weapon - Strength	附魔武器 - 力量
Enchant Weapon - Agility	附魔武器 - 敏捷
Enchant Bracer - Mana Regeneration	附魔护腕 - 法力回复
Enchant Bracer - Healing Power	附魔护腕 - 治疗能量
Enchant Weapon - Mighty Spirit	附魔武器 - 强效精神
Enchant Weapon - Mighty Intellect	附魔武器 - 强效智力
Jubling	小跳蛙
Spell Reflection	法术反射
Readiness	敏捷反应
Bloodvine Vest	血藤上衣
Bloodvine Leggings	血藤护腿
Bloodvine Boots	血藤长靴
Primal Batskin Jerkin	原始蝙蝠皮外套
Primal Batskin Gloves	原始蝙蝠皮手套
Primal Batskin Bracers	原始蝙蝠皮护腕
Blood Tiger Breastplate	血虎胸甲
Blood Tiger Shoulders	血虎护肩
Bloodsoul Breastplate	血魂胸甲
Bloodsoul Shoulders	血魂护肩
Bloodsoul Gauntlets	血魂护手
Darksoul Breastplate	暗魂胸甲
Darksoul Leggings	暗魂护腿
Darksoul Shoulders	暗魂护肩
Swift Razzashi Raptor	迅捷拉萨什迅猛龙
Swift Zulian Tiger	迅捷祖利安虎
Gurubashi Mojo Madness	古拉巴什魔精
Bloodvine Goggles	血藤护目镜
Bloodvine Lens	血藤透镜
Mageblood Elixir	法师之血药剂
Greater Dreamless Sleep Potion	强效无梦沉睡药水
Living Action Potion	生命行动药水
Mighty Troll's Blood Elixir	强效巨魔之血药剂
Dark Iron Boots	黑铁长靴
Heavy Crocolisk Stew	鳄鱼重煲
Blue Dragonscale Leggings	蓝色龙鳞护腿
Green Dragonscale Gauntlets	绿色龙鳞护手
Murky	泥泞
Dreamscale Breastplate	梦境之鳞胸甲
Smoked Desert Dumplings	烟熏沙漠饺子
Spitfire Bracers	烈焰喷射护腕
Spitfire Gauntlets	烈焰喷射护手
Spitfire Breastplate	烈焰喷射胸甲
Sandstalker Bracers	捕沙者护腕
Sandstalker Gauntlets	捕沙者护手
Sandstalker Breastplate	捕沙者胸甲
Moonkin Form	枭兽形态
Runed Stygian Leggings	符文冥河护腿
Runed Stygian Belt	符文冥河腰带
Runed Stygian Boots	符文冥河长靴
Moonkin Form (Passive)	枭兽形态（被动）
Moonkin Aura	枭兽光环
Darkrune Gauntlets	黑暗符文护手
Darkrune Helm	黑暗符文头盔
Darkrune Breastplate	黑暗符文胸甲
Black Whelp Tunic	黑色雏龙外衣
Defensive State 2 (DND)	防御状态 2（切勿使用）
Summon Baby Murloc (Blue)	召唤鱼人幼崽（蓝色）
Summon Baby Murloc (Green)	召唤鱼人幼崽（绿色）
Summon Baby Murloc (Orange)	召唤鱼人幼崽（橘色）
Lurky	卢尔奇
Summon Baby Murloc (Pink)	召唤鱼人幼崽（粉色）
Summon Baby Murloc (Purple)	召唤鱼人幼崽（紫色）
Murki	墨基
Activate MG Turret	激活机枪炮塔
Flamethrower	喷火枪
Enchant Gloves - Threat	附魔手套 - 威胁
Enchant Gloves - Shadow Power	附魔手套 - 暗影强度
Enchant Gloves - Frost Power	附魔手套 - 冰霜强度
Enchant Gloves - Fire Power	附魔手套 - 火焰强度
Enchant Gloves - Healing Power	附魔手套 - 治疗能量
Enchant Gloves - Superior Agility	附魔手套 - 极效敏捷
Enchant Cloak - Greater Fire Resistance	附魔披风 - 强效火焰抗性
Enchant Cloak - Greater Nature Resistance	附魔披风 - 强效自然抗性
Enchant Cloak - Stealth	附魔披风 - 潜行
Enchant Cloak - Subtlety	附魔披风 - 敏锐
Enchant Cloak - Dodge	附魔披风 - 躲闪
Minor Wizard Oil	次级巫师之油
Minor Mana Oil	次级法力之油
Lesser Wizard Oil	初级巫师之油
Lesser Mana Oil	初级法力之油
Wizard Oil	巫师之油
Brilliant Wizard Oil	光辉巫师之油
Brilliant Mana Oil	光辉法力之油
Transmute: Elemental Fire	奥术转换：元素之火
Disgusting Oozeling	可怕的软泥怪
Smelt Adamantite	冶炼精金
Smelt Cobalt	冶炼钴矿
Smelt Eternium	冶炼永恒
Smelt Fel Iron	冶炼魔铁
Smelt Felsteel	冶炼魔钢
Smelt Hardened Adamantite	冶炼精炼精金
Smelt Hardened Khorium	冶炼精炼克希矿
Smelt Khorium	冶炼克希矿
Smelt Saronite	冶炼萨隆邪铁
Smelt Titanium	冶炼钛矿
Smelt Titansteel	冶炼泰坦钢
Transmute: Ametrine	奥术转换：紫翠玉
Transmute: Cardinal Ruby	奥术转换：红宝石
Transmute: Dreadstone	奥术转换：恐惧石
Transmute: Earthsiege Diamond	奥术转换：地震钻石
Transmute: Earthstorm Diamond	奥术转换：大地风暴钻石
Transmute: Eternal Air to Earth	奥术转换：永恒之气转大地
Transmute: Eternal Air to Water	奥术转换：永恒之气转之水
Transmute: Eternal Earth to Air	奥术转换：永恒之土转之气
Transmute: Eternal Earth to Shadow	奥术转换：永恒之土转暗影
Transmute: Eternal Fire to Life	奥术转换：永恒之火转生命
Transmute: Eternal Fire to Water	奥术转换：永恒之火转之水
Transmute: Eternal Life to Fire	奥术转换：永恒生命转之火
Transmute: Eternal Life to Shadow	奥术转换：永恒生命转暗影
Transmute: Eternal Might	奥术转换：永恒之力
Transmute: Eternal Shadow to Earth	奥术转换：永恒暗影转大地
Transmute: Eternal Shadow to Life	奥术转换：永恒暗影转生命
Transmute: Eternal Water to Air	奥术转换：永恒之水转之气
Transmute: Eternal Water to Fire	奥术转换：永恒之水转之火
Transmute: Eye of Zul	奥术转换：祖尔之眼
Transmute: King's Amber	奥术转换：帝王黄水晶
Transmute: Majestic Zircon	奥术转换：王者锆石
Transmute: Primal Air to Fire	奥术转换：原始之气转之火
Transmute: Primal Earth to Life	奥术转换：原始大地转生命
Transmute: Primal Earth to Water	奥术转换：原始大地转之水
Transmute: Primal Fire to Earth	奥术转换：原始之火转大地
Transmute: Primal Fire to Mana	奥术转换：原始之火转法力
Transmute: Primal Life to Earth	奥术转换：原始生命转大地
Transmute: Primal Mana to Fire	奥术转换：原始法力转之火
Transmute: Primal Might	奥术转换：原始之力
Transmute: Primal Shadow to Water	奥术转换：原始暗影转之水
Transmute: Primal Water to Air	奥术转换：原始之水转之气
Transmute: Primal Water to Shadow	奥术转换：原始之水转暗影
Transmute: Skyfire Diamond	奥术转换：苍火钻石
Transmute: Skyflare Diamond	奥术转换：苍炎钻石
Transmute: Titanium	奥术转换：钛矿
Superior Mana Oil	极效法力之油
Superior Wizard Oil	极效巫师之油
Summon Charger	召唤白色战马
Summon Felguard	召唤恶魔卫士
Summon Friend	召唤朋友
Summon Gargoyle	召唤石像鬼
Summon Mechanical Greench	召唤机械雪精
Summon Mighty Mr. Pinchy	召唤品奇先生
Summon Water Elemental	召唤水元素
Summon Water Elemental (Prototype)	召唤水元素（原型）
Glyph of Cleaving	顺劈斩雕文
Portal: Dalaran	传送门：达拉然
Portal: Exodar	传送门：埃克索达
Portal: Shattrath	传送门：沙塔斯
Portal: Silvermoon	传送门：银月城
Portal: Stonard	传送门：斯通纳德
Portal: Theramore	传送门：塞拉摩
Teleport: Dalaran	传送：达拉然
Teleport: Exodar	传送：埃克索达
Teleport: Shattrath	传送：沙塔斯
Teleport: Silvermoon	传送：银月城
Teleport: Stonard	传送：斯通纳德
Teleport: Theramore	传送：塞拉摩
Enchant 2H Weapon - Agility	附魔双手武器 - 敏捷
Enchant 2H Weapon - Elusive	附魔双手武器 - 灵巧
Enchant 2H Weapon - Greater Savagery	附魔双手武器 - 强效野蛮
Enchant 2H Weapon - Major Agility	附魔双手武器 - 强效敏捷
Enchant 2H Weapon - Massacre	附魔双手武器 - 杀戮
Enchant 2H Weapon - Savagery	附魔双手武器 - 野蛮
Enchant 2H Weapon - Scourgebane	附魔双手武器 - 天灾克星
Enchant Boots - Accuracy	附魔靴子 - 精确
Enchant Boots - Assault	附魔靴子 - 攻击
Enchant Boots - Boar's Speed	附魔靴子 - 野猪之速
Enchant Boots - Cat's Swiftness	附魔靴子 - 猫之敏捷
Enchant Boots - Dexterity	附魔靴子 - 敏捷
Enchant Boots - Fortitude	附魔靴子 - 坚韧
Enchant Boots - Greater Assault	附魔靴子 - 强效攻击
Enchant Boots - Greater Fortitude	附魔靴子 - 强效坚韧
Enchant Boots - Greater Spirit	附魔靴子 - 强效精神
Enchant Boots - Greater Vitality	附魔靴子 - 强效活力
Enchant Boots - Icewalker	附魔靴子 - 冰行者
Enchant Boots - Superior Agility	附魔靴子 - 极效敏捷
Enchant Boots - Surefooted	附魔靴子 - 稳固
