tooltip_en	spell_ids	tooltip_zh
$42230s1 damage every $t3 seconds, and increasing the time between attacks by $s2%.	27012	
$42198s1 Frost damage every $42198t1 $lsecond:seconds;.	27085	
Increases armor by $s1, Frost resistance by $s3 and may slow attackers.	27124,43008	
$42218s1 Fire damage every $42218t1 seconds.	27212	
Reduces Arcane, Fire, Frost, and Shadow resistances by $s1.  Increases Arcane, Fire, Frost, and Shadow damage taken by $s2%.	27228	
Causes $s1 Shadow damage every $t1 sec.  After taking $s2 total damage or dying, Seed of Corruption deals $27285s1 Shadow damage to the caster's enemies within $27285a1 yards, excluding the target.	27243	
Drains $s1 health to the caster every $t1 sec.	27264,30911	
Increases health by $s1.	27268,47982	
Increases Fire resistance by $s2 and causes $s1 Fire damage to attacker when struck.	27269,47983	
Chance to hit reduced by $s2%.	27271,33701,47989,47990	
Heals $s1 damage every $t1 seconds and greatly increasing stealth detection to all nearby friendly targets within $54501a yards.	27272,47987,47988	
Melee attack speed slowed by $s2%.	27275	
Increases Shadow Resistance by $s1.	27683,39374,48170	
Heals $27811s1% of damage from a recent crit over $d.	27813	
Heals $27815s1% of damage from a recent crit over $d.	27817	
Heals $27816s1% of damage from a recent crit over $d.	27818	
Increases the amount of health generated through spells and effects by $s1% and increases spell damage by up to $s3.	28176,28189	
Healing $s1 every $t1 seconds.	28880,59542,59544,59545,59547	
Spirit based mana regeneration increased by $s2%.  Full mana regeneration while casting.	29166	
Increases your chance to get a critical strike with melee attacks by $s1%.	29177,29178,30165	
Increases Healing Wave's effect by up to $s1%.	29203	
Most melee hits increase the warrior's attack power.	29801,30030,30033	
Generates $/10;s1 rage and heals $s2% of your total health every $t1 sec.	29841,29842	
$s1 Shadow damage every $t1 sec.  If dispelled, will cause $*9;s1 damage to the dispeller and silence them for $31117d.	30108,30404,30405,47841,47843	
Slow and steady...	30174	
Causes $34913s1 Fire damage to attackers.  Chance to receive a critical hit reduced by $s2%.  Chance to critically strike with spells increased by $s3%.	30482	
Chance to critically strike with spells increased by $s1% and chance to hit with spells increased by $s2%.	30708	
Melee attack power increased by $s1.	30803,30804,30805,30806,30807	
All damage taken reduced by $s2% and successful melee attacks regenerate mana based on your weapon speed and attack power.	30823	
Regenerates $s1% of your total health and mana every $t1 sec.	30874	
Increases chance to resist spells by $s1%.	31224	
Offensive ability damage increased by $s1%.	31234,31235,31236	
Movement speed reduced by $s1%.  Time between ranged attacks increased by $s2%.  Casting time increased by $s3%.	31589	
Melee attacks have a chance to cause $31803o1 Holy damage over $31803d.	31801,84445	
$s1 Holy damage every $t1 sec.	31803	
The casting time of your next Holy Light spell is reduced by $/1000;S1 sec.	31834	
Casting speed of all spells increased by $s1%.	31842	
All damage caused increased by $s1%.	31884	
Melee attacks deal additional Holy damage at the cost of health.	31892	
Mounted speed increased by $s1%.  This does not stack with other movement speed increasing effects.	32223	
Physical damage caused reduced by $s1%.	32386,32388,32389,32390,32391	
Regenerating mana.	32548,34074	
Your attacks have an additional $s3% chance to apply poisons.	32645	
Attack power increased by $s1%.	32851	
Prevents you from being critically hit.	33143	
Your next Smite or Flash Heal spell is instant cast, costs no mana but is incapable of a critical hit.	33151	
Allows your mount to fly in Northrend.	33153	
Spell damage taken increased by $s1%.	33196,33197,33198	
All damage taken reduced by $s1% and resistance to Dispel mechanics increased by $s2%.	33206	
Melee attack power increased by $s1 and magical damage and healing done increased by $s2.	33697,86573,86575,86577,86579,86581,86583,86585	
Magical damage and healing done increased by $s2.	33702,86559,86561,86563,86565,86567,86569,86571	
$s2 mana per 5 sec.  Attacks and spells used against you restore $33737s1 mana.  $n charges.	33736	
$s1 damage every $t sec	33745,48567,48568	
Heals $s1 every second and 600 when effect finishes or is dispelled.	33763	
All bleed effects and Shred cause $s2% additional damage.	33876,33878,33982,33983,33986,33987	
Immune to Polymorph effects.	33891	
Immune to Polymorph effects.\nMovement speed increased by $33948s2% and allows you to fly.	33943	
Redirecting threat.	34477	
All attackers gain attack power against this target.	34501	
Your next Flash Heal, Binding Heal, or Greater Heal spell has its mana cost reduced by $s1%.	34754	
Critical strike chance with all attacks increased by $s1%.	34833,34834,34835,34836,34837	
$s1 Fire damage every second.	34889,35323	
Priest's party gains mana equal to $s1% of Shadow spell damage caused by the priest.	34914,34916,34917	
5% of Shadow spell damage taken restores mana to the party.	34919	
Your next Shadow Bolt or Incinerate spell has its cast time reduced by $s1%.	34936	
Damage of your next Aimed Shot, Arcane Shot or Chimera Shot increased by $s1%.	35098,35099	
Banished.	35182	
Next melee attack against you has a $s3% chance to miss.	35346	
Nature damage inflicted every $t1 sec.	35387,35389,35392	
Chance to crit.	35695	
Dmg % taken	35697	
Increases damage caused by $s1% and resistance to all magic schools by $s2.	35702,35703,35704,35705,35706	
Intellect increased by $s1.\n$s2 mana restored every $t2 sec.\nTotal stats increased by $s3%.	35912	
Movement speed increased by $s3%.	36554	
Unable to move.	38505	
Ranged attack power increased by $s1.\nAll stats increased by $s2.\nTotal stats increased by $s3%.	38734	
Rooted.	39258	
Immune to Polymorph effects.\nMovement speed increased by $40121s2% and allows you to fly.	40120	
Summoning Ghouls.	42650	
$42937s1 Frost damage every $42937t1 $lsecond:seconds;.	42939	
$42938s1 Frost damage every $42938t1 $lsecond:seconds;.	42940	
Resistance to all magic schools increased by $s1 and allows $s2% of your mana regeneration to continue while casting.  Duration of all harmful Magic effects reduced by $s3%.	43023,43024	
Causes $43043s1 Fire damage to attackers.  Chance to receive a critical hit reduced by $s2%.  Critical strike rating increased by $s3% of Spirit.	43045	
Causes $43044s1 Fire damage to attackers.  Chance to receive a critical hit reduced by $s2%.  Critical strike rating increased by $s3% of Spirit.	43046	
$s1 Shadow damage inflicted every sec.	43265,49936,49937	
Finding Fish.	43308	
Your next Shock spell has its mana cost reduced by $s1%.	43339	
Reduces the channeled duration of your next Arcane Missiles spell by $/1000;S1 secs, reduces the mana cost by $s3%, and the missiles fire every .5 secs.	44401	
Spell power increased.	44413	
Causes $s1 Fire damage every $t1 sec.  After $d or when the spell is dispelled, the target explodes causing $44461s1 Fire damage to all enemies within $44461a1 yards.	44457	
Your next $s1 spells treat the target as if it were Frozen.	44544	
Stunned and Frozen.	44572	
Movement slowed by $s1%.  $s3 Frostfire damage every $t3 sec.	44614	
All damage reduced by $s1%.  Healing effects increased by $s2%.	45237,45241,45242	
Immune to all attacks and spells.  Cannot attack, move or use spells.	45438	
Melee and ranged attack speed reduced by $55095s2%.	45477,49896,49903,49904,49909	
Slowed by frozen chains.	45524	
Blood Rune converted to a Death Rune.	45529	
Grants 190 mana every 5 seconds.	45659	
All of your spells are instant cast.	45813	
A Risen Ghoul is in your service.	46584	
Bleeding for $s1 plus a percentage of weapon damage every $t1 seconds.  If used while the victim is above $s2% health, Rend does $s3% more damage.	46845,47465	
Bleed effects cause an additional $s1% damage.	46856,46857	
Your next Slam is instant.	46916	
You cannot be stopped and perform a Whirlwind every $t1 sec.  No other abilities can be used.  Less hindered by effects that reduce movement speed.	46924	
All damage taken reduced by $s1%.	46946,46947	
Empowered.	47193,84701	
Demon Form.\nArmor contribution from items increased by $47241s2%.\nChance to be critically hit by melee reduced by 6%.\nDamage increased by $47241s3%.\nStun and snare duration reduced by $54817s1%.	47241	
Reduces all damage by $s1%, and you regenerate $49766s1% mana every $60069t1 sec for $d.  Cannot attack or cast spells. Immune to snare and movement impairing effects.	47585	
Movement slowed by $s1%.  $s3 Fire damage every $t3 sec.	47610	
Increased healing received by $s1% and will prevent 1 killing blow.	47788	
Increases armor by $s1, and amount of health generated through spells and effects by $s2%	47793,47889	
$47818s1 Fire damage every $47817t1 seconds.	47819	
$47818s1 Fire damage every $47818t1 seconds.	47820	
Causes $s1 Shadow damage every $t1 sec.  After taking $s2 total damage or dying, Seed of Corruption deals $47833s1 Shadow damage to the caster's enemies within $47833a1 yards.	47835	
Causes $s1 Shadow damage every $t1 sec.  After taking $s2 total damage or dying, Seed of Corruption deals $47834s1 Shadow damage to the caster's enemies within $47834a1 yards.	47836	
Reduces Arcane, Fire, Frost, Nature and Shadow resistances by $s1.  Increases magic damage taken by $s2%.	47865	
Increases spell power by $s3 plus additional spell power equal to $s1% of your Spirit. Also regenerate $s2% of maximum health every 5 sec.	47892,47893	
Demonic Circle Summoned.	48018	
Increases armor by $s1 and spell power by $s2.	48040,48168	
Causing shadow damage to all targets within $49821a1 yards.	48045,53023	
Movement speed slowed.	48155,48156	
$s2 Shadow damage every $t2 seconds. Priest's party or raid members gain 1% of their maximum mana per 5 sec when the priest deals damage from Mind Blast.	48159,48160	
Damage taken from Shadow damage-over-time effects increased by $s3%.	48181,59161,59163,59164	
Stamina increased by $61261s1%.\nArmor contribution from cloth, leather, mail and plate items increased by $48263s1%.\nDamage taken reduced by $48263s3%.	48263	
Attack speed increased $s1%.\nMovement speed increased by $49772s1%.\nGlobal cooldown on all abilities reduced by ${$m2/-1000}.1 sec.	48265	
Damage increased by $48266s1%.\nHealed by $50371s1% of damage dealt.	48266	
Heals $s1 damage every $t1 second.	48438,53248,53249,53251	
Heals nearby party members for $s1 every $t2 seconds.	48446,48447	
Heals $s1 every second and 770 when effect finishes or is dispelled.	48450	
Heals $s1 every second and 970 when effect finishes or is dispelled.	48451	
$48466s1 damage every $t3 seconds, and increasing the time between attacks by $s2%.	48467	
Chance to hit with melee and ranged attacks decreased by $s2% and $s1 Nature damage every $t1 sec.	48468	
Summoning stars from the sky.	48505,53199,53200,53201	
All bleed effects cause $s2% additional damage.	48563,48564,48565,48566	
$s2% reduced damage taken from area of effect attacks.	48659	
Spell damage reduced by $s1%.\nImmune to magic debuffs.	48707	
Damage taken reduced.\nImmune to Stun effects.	48792	
Block chance increased by $s1%.  $s2 Holy damage dealt to attacker when blocked.  $n charges.	48951,48952	
Hits by this target restore $s2% health.	49005	
Enraged.\nPhysical damage increased by $s1%.\nHealth equal to $s2% of maximum health lost every sec.	49016	
You have recently summoned a rune weapon.	49028	
Immune to Charm, Fear and Sleep.\nUndead.	49039	
Taking damage from a vile swarm of unholy insects.  Diseases cannot be dispelled.	49194	
Under attack from a Gargoyle.	49206	
Time between attacks increased by $s1%.	49230,49231	
Causes $49278s1 Nature damage to attacker on hit.  $n charges.	49280	
Causes $49279s1 Nature damage to attacker on hit.  $n charges.	49281	
Reduces casting or channeling time lost when damaged by $s2% and attacks heal the shielded target for $s1.	49283,49284	
Your next Icy Touch, Howling Blast, Frost Strike or Obliterate has a 100% chance to critically hit.	49796	
Causing shadow damage to all targets within $a1 yards.	49821,53022	
$s1 Shadow damage inflicted every sec	49938	
Increases damage done by $s1.	50212,50213	
Pinned in place.	50245,53544,53545,53546	
Attack power increased by $s2.\nHealing $s1 damage every $t1 seconds.	50318,52012,52013,52014	
Health increased.	50322	
Immune to Fear effects.	50334	
Physical damage increased by $s1%.	50447,50448,50449	
Melee attack power reduced by $s1, and armor is reduced by $s2%.	50511	
Taking Shadow damage every $t1 sec.  Diseases unable to be dispelled.	50536	
Damages all nearby enemies.	50589	
Damage taken reduced by $s1% and $s3% of all threat transferred to warrior.	50720	
Armor increased by $s1%.\nStrength increased by $s2%.	51271	
Cannot attack or cast spells.	51514	
Attacking an enemy every $t1 sec.\nDamage dealt increased by $61851s3%.	51690	
Time between melee and ranged attacks increased by $s1%.  \nMovement speed reduced by $s2%.	51693	
Can use opening abilities without being stealthed.	51713	
$s2 mana per 5 sec.  Attacks and spells used against you restore $52128s1 mana.  $n charges.	52127	
$s2 mana per 5 sec.  Attacks and spells used against you restore $52130s1 mana.  $n charges.	52129	
$s2 mana per 5 sec.  Attacks and spells used against you restore $52132s1 mana.  $n charges.	52131	
$s2 mana per 5 sec.  Attacks and spells used against you restore $52133s1 mana.  $n charges.	52134	
$s2 mana per 5 sec.  Attacks and spells used against you restore $52135s1 mana.  $n charges.	52136	
$s2 mana per 5 sec.  Attacks and spells used against you restore $52137s1 mana.  $n charges.	52138	
TEST	52284	
Ranged, melee and casting speed reduced by $s2%.	52372	
Deals $o2 Shadow damage over $d.	52373	
Old text stored: Unleashes all available runic power, causing up to $m1 Shadow damage modified by attack power to an enemy target or healing up to $m1 damage from a friendly Undead target.	52375	
Physical damage done increased by $s2%.	52610	
Increases attack power by $s1%.	53137,53138	
Damage done by your Aimed Shot, Arcane Shot or Chimera Shot increased by $s1%, and mana cost reduced by $s2%.	53220	
Restoring $56654s1% mana every 3 sec.	53230	
Firing $s1% Weapon Damage to the target.	53254	
Taking Fire damage every second.	53301,60051,60052,60053	
All attackers gain $s2 ranged attack power against this target.	53338	
Hits can increase the pet's attack power.	53401	
Gain $s1% of total health every $t1 sec.	53426	
Increases your melee and ranged attack power by $s1%.	53434	
The next melee or ranged attack made against you will be made against the intervening pet instead.	53476	
Immune to critical strikes, but damage transferred to the hunter's pet.	53480	
The cast time of your next Flash of Light or Exorcism is reduced by ${$53489m1/-1000}.2 sec.	53489	
Gain $s1% of total mana every $t1 sec.	53517	
Beacon of Light.	53563	
Each time the target takes damage they gain a Sacred Shield, absorbing $58597s1 damage and increasing the paladin's chance to critically hit with Flash of Light by $58597s2%.   The target cannot gain this effect more than once every $s2 sec.	53601	
The paladin's heals on you also heal the Beacon of Light.	53651	
Casting and melee speed increased by $s1%.	53655,53656,53657,54152,54153	
Resistance to Disease, Magic and Poison increased by $s1%.	53659	
Reduces the cast time of your next Flash of Light by ${$53672m2/-1000}.2 sec or increase the critical chance of your next Holy Light by $s1%.	53672	
Melee attacks cause Holy damage over $53742d.	53736	
Holy damage every $t1 sec.	53742	
Your next Fear is instant cast.	53756	
Something is with you....	53768	
Reduces the cast time of your next Flash of Light by ${$54149m2/-1000}.1 sec or increase the critical chance of your next Holy Light by $s1%.	54149	
Increases Intellect by $s1 and Spirit by $s2.	54424,57564,57565,57566,57567	
Gaining $o1% of total mana.\nHealing spells reduced by $s2%.	54428	
Chance to critically hit with spells increased by $s1%.  When a critical hit occurs, the caster's chance to critically hit is increased.	54646	
Increases chance to critically hit with spells by $s1%.	54648	
Increases flight speed by $s2%.	54729	
Your next Flamestrike spell is instant cast and costs no mana.	54741	
Immune to Interrupt and Silence mechanics.	54748	
Heals for 10% of the value of Holy Light.	54968	
Increases the critical effect chance of your Healing Wave, Lesser Healing Wave and Chain Heal by $s1%.	55166	
Increases the critical effect chance of your Healing Wave, Lesser Healing Wave and Chain Heal by $s1%. Each critical heal reduces the chance by 20%. Lasts $55166d.	55198	
Healing improved by $s1%\nMaximum health increased by $s2%	55233	
Copies of the caster that attack on their own.	55342	
Causes $s1 Fire damage every $t1 sec.  After $d or when the spell is dispelled, the target explodes causing $55361s1 Fire damage to all enemies within $55361a1 yards.	55359	
Causes $s1 Fire damage every $t1 sec.  After $d or when the spell is dispelled, the target explodes causing $55362s1 Fire damage to all enemies within $55362a1 yards.	55360	
Increases melee haste by $s1%.	55610	
Regenerates $s1% of your total health every $t1 sec.	55694	
All healing reduced by $s1%.	56112	
Heals a friendly target over $d.	56161	
Your next Arcane Shot or Explosive Shot spells trigger no cooldown, cost no mana and consume no ammo.	56453	
Decreases armor by $s2.  Cannot stealth or turn invisible.	56626,56627,56628,56629	
Increases your total Strength and Agility by $s1.	57330,57623	
Allows vision through the Eye of Acherus.  Right-Click on buff to switch back and forth between Eye of Acherus and normal vision.	57532	
All damage caused increased by $s1%.  All threat transferred from rogue to target.	57933	
The threat caused by your next damaging attack and all actions taken for $57933d afterwards will be transferred to the target.  In addition, all damage caused by the target is increased by $57933s1% during this time.	57934	
$s2 mana per 5 sec.  Attacks and spells used against you restore $57961s1 mana.  $n charges.	57960	
Chance to apply Deadly Poison increased by $s3% and frequency of applying Instant Poison increased by $s2%.	57992,57993	
Movement speed slowed to $15407s2% of normal.	58381	
While stealthed, and for 20 seconds after breaking stealth, you regenerate $58427s1% additional energy.	58426	
Regenerating $s1% additional energy.	58427	
Taunting creatures.	58580,58581,58582	
Shadowmelded.	58984	
Your next Flash of Light or Exorcism spell is instant cast.	59578	
Heals $s2 every $t2 seconds.  Increases caster's Chain Heal by $s3%.	61295,61299,61300,61301	
Health increased by 30% of maximum while in Bear Form, Cat Form, or Dire Bear Form.	61336	
Increases ranged attack power by $s1.\nIncreases dodge chance by $61848s1%.	61846,61847	
Choose one of your stabled pets to replace your current pet.	62757	
Decreases the time between attacks by $s2% and heals $s1% every $t1 sec.	63560	
Switch to your Secondary Talent Specialization.	63644	
Switch to your Primary Talent Specialization.	63645	
Reduces the cast time of your next Greater Heal or Prayer of Healing by $s1%.	63731,63734,63735	
$s1% of all damage taken by party members redirected to the Paladin.	64205	
Armor reduced by $s2%.	64382	
Swim speed increased by $s2%.	64731	
Heals damage every $t1 seconds.	64801	
Reciting Divine Hymn, healing nearby friendly party or raid targets most in need for $64844s1 every $t1 sec for $d.	64843	
Healing received increased by $s2%.	64844	
Healing every $t1 seconds.	64891	
Reciting Hymn of Hope, restoring $64904s1% mana to nearby friendly party or raid targets most in need every $t1 sec for $d.	64901	
Maximum mana increased by $s2%.	64904	
Right Click to summon and dismiss your Warbot.	65682	
Increases speed by $s2%.	65917	
Healing over $d.	66922,70772	
Healing damage every $t1 sec.	70809	
All damage increased by $s1%.	75446,75447,75593	
Your attacks have a chance to increase your armor by $84464s1 and the damage dealt by Hammer of Wrath by $84464s2%. Stacks up to $84464u times.	84465	
Increases your Spirit by $84468s1% of your Intellect for $84468d.	84469	
All resistances increased by $s1.	84487	
Taking $84488s1 damage and dealing ${$84488m1*2} damage to up to ${$84488i-1} nearby allies every $t sec.	84489	
Taking $84490s1 damage and dealing ${$84490m1*2} damage to up to ${$84490i-1} nearby allies every $t sec.	84491	
Taking $84492s1 damage and dealing ${$84492m1*2} damage to up to ${$84492i-1} nearby allies every $t sec.	84493	
Taking $84494s1 damage and dealing ${$84494m1*2} damage to up to ${$84494i-1} nearby allies every $t sec.	84495	
Taking $84496s1 damage and dealing ${$84496m1*2} damage to up to ${$84496i-1} nearby allies every $t sec.	84497	
Taking $84498s1 damage and dealing ${$84498m1*2} damage to up to ${$84498i-1} nearby allies every $t sec.	84499	
Taking $84500s1 damage and dealing ${$84500m1*2} damage to up to ${$84500i-1} nearby allies every $t sec.	84501	
Melee attacks cause an additional ${$cond($eq($HND,1),0.85*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2-1,1.2*($m1*1.2*1.03*$MWS/100)+0.03*($MW+$mw)/2+1)} Holy damage.	84508,84509,84510,84511,84512,84513,84514,84515	
Melee attacks deal $84524s1% weapon damage as Holy to an additional target.	84526	
Melee attacks deal $84527s1% weapon damage as Holy to an additional target.	84529	
Absorbing damage.	84602,84603,84604	
Soul bonded with a nearby Warlock.	84704	
Inflicting $84727s1 Fire damage every $t1 seconds to enemies nearby.	84728	
Allows walking over water.  Damage will cancel this effect.	84750	
Attack and casting speed increased.	86602,86603,86604,86605	
Cloaked.	86617	
Spirit Walking.	86618	
Hidden.	86619	
Shadowed.	86620	
Embracing Darkness.	86621	
Blending.	86622	
Blurred.	86623	
Damage dealt reduced by $s1%	87550,87558	
Damage dealt increased by $s1%	87551	
Attack and Cast Speed reduced by $s1%	87552	
Attack and Cast Speed increased by $s1%	87553	
Max Health reduced by $s1%	87554	
Max Health increased by $s1%	87555	
Movement Speed reduced by $s1%	87556	
Movement Speed increased by $s1%	87557	
Increases speed depending on Riding skill.	150000,150001	
Spirit based mana regeneration decreased by $s2%.	150089,150091,150092	
